Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,St. Thomas More College,Archaeology,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Religion and Culture,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,St. Thomas More College,Sociology,15870,6104,70,3-4 years,English,Internet based: 86 with a score 19 on all components,,,106° 38' 12.12" W,52° 7' 45.84" N,www.stmcollege.ca
Saskatchewan,University of Regina,Health Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,"Indigenous Languages, Arts & Culture",9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Indigenous Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Linguistics,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,"Philosophy, Politics and Economics (PPE)",9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Resource and Environmental Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Business,11484,4246,85,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Electronic Systems Engineering,10945,4060,70-89,5 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Environmental Systems Engineering,10945,4060,70-89,5 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Industrial Systems Engineering,10945,4060,70-89,5 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Petroleum Systems Engineering,10945,4060,70-89,5 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
